15;Combien de minutes un cachalot peut-il rester sous l'eau sans respirer ?;90 min;70 min;50 min;30 min;Confirmé;La chasse au cachalot permettait de récolter le spermaceti, substance blanche et cireuse issue de la tête de l'animale.
16;Quelle vitesse un faucon pèlerin peut-il atteindre lorsqu'il fond sur sa proie ?;240 km/h;200 km/h;160 km/h;120 km/h;Confirmé;Ses proies sont souvent des oiseaux, mais certains individus peuvent également s'attaquer à de petits animaux terrestres.
17;Combien de millilitres de sang une chauve-souris vampire peut-elle boire en une nuit ?;20 ml;40 ml;60 ml;80 ml;Confirmé;La chauve-souris vampire est originaire des zones tropicales du continent américain (Mexique, Chili, Brésil et Argentine).
18;Par quel facteur le poids d'un ours blanc est-il multiplié deux mois après sa naissance ?;25;35;45;55;Confirmé;Parfaitement adapté à son habitat, l'ours blanc possède une épaisse couche de graisse et une fourrure qui l'isolent du froid.
19;Combien de fois compte-t-on plus de serpents non venimeux que venimeux ?;1 700 fois;1 500 fois;1 300 fois;1 100 fois;Confirmé;La plupart des serpents possèdent une langue bifide, des yeux sans paupière, un crâne articulé et des mâchoires mobiles.
20;Combien d'oeufs pond en moyenne un crocodile du Nil en bonne santé ?;100;70;40;130;Confirmé;À l'éclosion des oeufs, le bébé crocodile mesure environ 30 cm et a le même corps que sa mère, qu'il soit mâle ou femelle.
21;Quelle est la longueur maximale du bond que peut effectuer un puma ?;12 m;10 m;8 m;6 m;Expert;Pour les besoins de la chasse ou en cas de menace, il est capable de grimper aux arbres et de faire preuve d'une grande agilité.
22;Combien un moustique normalement constitué a-t-il de dents ?;47;34;29;11;Expert;Les adultes se nourrissent de nectar de fleurs et participent à la pollinisation des plantes, au même titre que les papillons.
23;Quelle est la longueur en centimètres d'un intestin de koala ?;300 cm;200 cm;100 cm;400 cm;Expert;Le koala est étroitement lié à l'eucalyptus ou gommier, dont il ne mange que les feuilles de certaines espèces.
24;Combien de jours dure l'hibernation d'un écureuil d'Alaska ?;270 jours;180 jours;320 jours;410 jours;Expert;La queue en panache de l'écureuil et son acharnement à faire des provisions pour l'hiver ont contribué à sa popularité.
25;Quelle est la vitesse maximale déjà atteinte par l'espadon-voilier ?;109 km/h;99 km/h;89 km/h;119 km/h;Expert;Possédant des stries verticales sur les flancs, l'espadon-voilier est considéré comme étant le plus rapide des poissons.
26;Combien d'animaux du zoo de Berlin survécurent à la Seconde Guerre mondiale ?;91;344;892;1 712;Expert;Les premiers dons d'animaux au zoo de Berlin, fondé en 1844, furent effectués par Frédéric-Guillaume IV, roi de Prusse.
27;Sur mille tortues marines, combien seulement atteignent l'âge de se reproduire ?;15;100;250;640;Expert;Les tortues marines, bien que vulnérables, sont présentes dans tous les océans du monde, à l'exception de l'océan Arctique.
28;Combien de fois par seconde un colibri peut-il battre des ailes ?;78 fois;58 fois;38 fois;18 fois;Expert;Les colibris sont également surnommés oiseaux-mouches à cause de leur petite taille et de leurs battements d'ailes rapides.
29;Au sens large du terme, combien existe-t-il d'espèces de kangourous ?;63;51;44;37;Expert;Animal emblématique de l'Australie, le grand kangourou y est plus populaire dans les campagnes que dans les villes.
30;Combien a-t-on découvert jusqu'ici d'espèces de coléoptères ?;9 600;8 700;7 200;6 400;Expert;Les scarabées, les coccinelles, les lucanes, les chrysomèles, les hannetons et les charançons sont des coléoptères.
